density,batch,Position,individual,OG-size,size,magnitude ,type
64,64.2,bottom,b3,7,18.2,,faeces
64,64.2,bottom,b3,7,18.2,,faeces
64,64.2,bottom,b3,6,15.6,,faeces
64,64.2,bottom,b3,5,13,,faeces
64,64.2,bottom,b3,11,28.6,,faeces
64,64.2,bottom,b3,6,15.6,,faeces
64,64.2,bottom,b3,24,62.4,,faeces
64,64.2,bottom,b3,17,44.2,,faeces
64,64.2,bottom,b3,17,44.2,,faeces
64,64.2,bottom,b3,16,41.6,,faeces
64,64.2,bottom,b3,30,78,,faeces
64,64.2,bottom,b3,30,78,,faeces
64,64.2,bottom,b3,15,39,,faeces
64,64.2,bottom,b3,10,26,,faeces
64,64.2,bottom,b3,8,20.8,,faeces
64,64.2,bottom,b3,17,44.2,,faeces
64,64.2,bottom,b3,5,13,,faeces
64,64.2,bottom,b3,28,72.8,,faeces
64,64.2,bottom,b3,10,26,,faeces
64,64.2,bottom,b3,10,26,,faeces
64,64.2,bottom,b3,12,31.2,,faeces
64,64.2,bottom,b3,20,52,,faeces
64,64.2,bottom,b3,12,31.2,,faeces
64,64.2,bottom,b3,17,44.2,,faeces
64,64.2,bottom,b3,16,41.6,,faeces
64,64.2,bottom,b3,26,67.6,,faeces
64,64.2,bottom,b3,10,26,,faeces
64,64.2,bottom,b3,13,33.8,,faeces
64,64.2,bottom,b3,7,18.2,,faeces
64,64.2,bottom,b3,7,18.2,,faeces
64,64.3,top,t1,5,13,,faeces
64,64.3,top,t1,5,13,,faeces
64,64.3,top,t1,7,18.2,,faeces
64,64.3,top,t1,7,18.2,,faeces
64,64.3,bottom,b1,12,31.2,,faeces
64,64.3,bottom,b1,7,18.2,,faeces
64,64.3,bottom,b1,7,18.2,,faeces
64,64.3,bottom,b1,5,13,,faeces
64,64.3,bottom,b1,5,13,,faeces
64,64.3,bottom,b2,17,44.2,,faeces
64,64.3,bottom,b2,11,28.6,,faeces
64,64.3,bottom,b2,11,28.6,,faeces
64,64.3,bottom,b2,8,20.8,,faeces
64,64.3,bottom,b2,11,28.6,,faeces
64,64.3,bottom,b2,8,20.8,,faeces
64,64.3,bottom,b2,7,18.2,,faeces
64,64.3,bottom,b2,8,20.8,,faeces
64,64.3,bottom,b2,6,15.6,,faeces
64,64.3,bottom,b2,6,15.6,,faeces
64,64.3,bottom,b2,10,26,,faeces
64,64.3,bottom,b2,10,26,,faeces
64,64.3,bottom,b2,14,36.4,,faeces
64,64.3,bottom,b2,7,18.2,,faeces
64,64.3,bottom,b2,5,13,,faeces
64,64.3,bottom,b2,15,39,,faeces
64,64.3,bottom,b2,8,20.8,,faeces
64,64.3,bottom,b2,7,18.2,,faeces
64,64.3,bottom,b2,8,20.8,,faeces
64,64.3,bottom,b2,27,70.2,,faeces
64,64.3,bottom,b2,26,67.6,,faeces
64,64.3,bottom,b2,30,78,,faeces
64,64.3,bottom,b2,14,36.4,,faeces
64,64.3,bottom,b2,9,23.4,,faeces
64,64.3,bottom,b2,7,18.2,,faeces
64,64.3,bottom,b2,8,20.8,,faeces
64,64.3,bottom,b2,14,36.4,,faeces
64,64.3,bottom,b2,14,36.4,,faeces
64,64.3,bottom,b2,8,20.8,,faeces
64,64.3,bottom,b2,10,26,,faeces
64,64.3,bottom,b2,10,26,,faeces
64,64.3,bottom,b2,10,26,,faeces
64,64.3,bottom,b2,14,36.4,,faeces
64,64.3,bottom,b2,11,28.6,,faeces
64,64.3,bottom,b2,8,20.8,,faeces
64,64.3,bottom,b2,11,28.6,,faeces
64,64.3,bottom,b3,5,13,,faeces
64,64.3,bottom,b3,5,13,,faeces
64,64.3,bottom,b3,6,15.6,,faeces
64,64.3,bottom,b3,6,15.6,,faeces
64,64.3,bottom,b3,6,15.6,,faeces
64,64.3,bottom,b3,5,13,,faeces
64,64.3,bottom,b3,7,18.2,,faeces
64,64.3,bottom,b3,5,13,,faeces
64,64.3,bottom,b3,6,15.6,,faeces
64,64.3,bottom,b3,11,28.6,,faeces
64,64.3,bottom,b3,11,28.6,,faeces
64,64.3,bottom,b3,9,23.4,,faeces
64,64.3,bottom,b3,8,20.8,,faeces
64,64.3,bottom,b3,10,26,,faeces
64,64.3,bottom,b3,15,39,,faeces
64,64.3,bottom,b3,10,26,,faeces
64,64.3,bottom,b3,5,13,,faeces
64,64.3,bottom,b3,15,39,,faeces
64,64.3,bottom,b3,8,20.8,,faeces
64,64.3,bottom,b3,6,15.6,,faeces
64,64.3,bottom,b3,7,18.2,,faeces
64,64.3,bottom,b3,8,20.8,,faeces
64,64.3,bottom,b3,16,41.6,,faeces
64,64.3,bottom,b3,6,15.6,,faeces
64,64.3,bottom,b3,8,20.8,,faeces
64,64.3,bottom,b3,7,18.2,,faeces
64,64.3,bottom,b3,15,39,,faeces
64,64.3,bottom,b3,15,39,,faeces
64,64.3,bottom,b3,15,39,,faeces
64,64.3,bottom,b3,15,39,,faeces
64,64.3,bottom,b3,12,31.2,,faeces
64,64.3,bottom,b3,7,18.2,,faeces
64,64.3,bottom,b3,10,26,,faeces
64,64.3,bottom,b3,10,26,,faeces
64,64.3,bottom,b3,8,20.8,,faeces
64,64.3,bottom,b3,8,20.8,,faeces
64,64.3,bottom,b3,6,15.6,,faeces
64,64.3,bottom,b3,10,26,,faeces
64,64.3,bottom,b3,7,18.2,,faeces
64,64.3,bottom,b3,8,20.8,,faeces
64,64.3,bottom,b3,10,26,,faeces
64,64.3,bottom,b3,12,31.2,,faeces
64,64.3,bottom,b3,15,39,,faeces
64,64.3,bottom,b3,13,33.8,,faeces
64,64.3,bottom,b3,12,31.2,,faeces
64,64.3,bottom,b3,10,26,,faeces
64,64.3,bottom,b3,6,15.6,,faeces
64,64.3,bottom,b3,6,15.6,,faeces
64,64.3,bottom,b3,5,13,,faeces
64,64.3,bottom,b3,5,13,,faeces
64,64.3,bottom,b3,15,39,,faeces
64,64.3,bottom,b3,5,13,,faeces
64,64.3,bottom,b3,5,13,,faeces
64,64.3,bottom,b3,8,20.8,,faeces
64,64.3,bottom,b3,6,15.6,,faeces
64,64.3,bottom,b3,5,13,,faeces
64,64.4,top,t3,5,52,10,faeces
64,64.4,top,t3,5,52,,faeces
64,64.4,top,t3,5,52,,faeces
64,64.4,top,t3,5,52,,faeces
64,64.4,top,t3,4,41.6,,faeces
64,64.4,top,t3,7,72.8,,faeces
64,64.4,top,t3,6,62.4,,faeces
64,64.4,top,t3,6,62.4,,faeces
64,64.4,top,t3,7,72.8,,faeces
64,64.4,top,t3,4,41.6,,faeces
64,64.4,top,t3,2,20.8,,faeces
64,64.4,top,t3,5,52,,faeces
64,64.4,top,t3,5,52,,faeces
64,64.4,top,t3,5,52,,faeces
64,64.4,top,t3,7,72.8,,faeces
64,64.4,top,t3,5,52,,faeces
64,64.4,top,t3,4,41.6,,faeces
64,64.4,top,t3,4,41.6,,faeces
64,64.4,top,t3,4,41.6,,faeces
64,64.4,top,t3,4,41.6,,faeces
64,64.4,top,t3,6,62.4,,faeces
64,64.4,top,t3,7,72.8,,faeces
64,64.4,top,t3,4,41.6,,faeces
64,64.4,top,t3,2,20.8,,faeces
64,64.4,top,t3,6,62.4,,faeces
64,64.4,top,t3,5,52,,faeces
64,64.4,top,t3,4,41.6,,faeces
64,64.4,top,t3,2,20.8,,faeces
64,64.4,top,t3,2,20.8,,faeces
64,64.4,top,t3,2,20.8,,faeces
64,64.4,top,t3,4,41.6,,faeces
64,64.4,top,t3,5,52,,faeces
64,64.4,top,t3,4,41.6,,faeces
64,64.4,top,t3,4,41.6,,faeces
64,64.4,top,t3,5,52,,faeces
64,64.4,top,t3,2,20.8,,faeces
64,64.4,top,t3,2,20.8,,faeces
64,64.4,top,t3,2,20.8,,faeces
64,64.4,top,t3,4,41.6,,faeces
64,64.4,top,t3,3,31.2,,faeces
64,64.4,top,t3,7,72.8,,faeces
64,64.4,top,t3,5,52,,faeces
64,64.4,top,t3,6,62.4,,faeces
64,64.4,top,t3,2,20.8,,faeces
64,64.4,top,t3,3,31.2,,faeces
64,64.4,top,t3,5,52,,faeces
64,64.4,top,t3,3,31.2,,faeces
64,64.4,top,t3,6,62.4,,faeces
64,64.4,top,t3,3,31.2,,faeces
64,64.4,top,t3,2,20.8,,faeces
64,64.4,top,t3,5,52,,faeces
64,64.4,top,t3,4,41.6,,faeces
64,64.4,top,t3,15,39,40,faeces
64,64.4,top,t3,15,39,,faeces
64,64.4,top,t3,15,39,,faeces
64,64.4,top,t3,8,20.8,,faeces
64,64.4,bottom,b3,9,93.6,10,faeces
64,64.4,bottom,b3,4,41.6,,faeces
64,64.4,bottom,b3,5,52,,faeces
64,64.4,bottom,b3,6,62.4,,faeces
64,64.4,bottom,b3,6,62.4,,faeces
64,64.4,bottom,b3,6,62.4,,faeces
64,64.4,bottom,b3,6,62.4,,faeces
64,64.4,bottom,b3,8,83.2,,faeces
64,64.4,bottom,b3,4,41.6,,faeces
64,64.4,bottom,b3,3,31.2,,faeces
64,64.4,bottom,b3,7,72.8,,faeces
64,64.4,bottom,b3,5,52,,faeces
64,64.4,bottom,b3,7,72.8,,faeces
64,64.4,bottom,b3,5,52,,faeces
64,64.4,bottom,b3,2,20.8,,faeces
64,64.4,bottom,b3,7,72.8,,faeces
64,64.4,bottom,b3,6,62.4,,faeces
64,64.4,bottom,b3,5,52,,faeces
64,64.4,bottom,b3,5,52,,faeces
64,64.4,bottom,b3,2,20.8,,faeces
64,64.5,top,t2,27,70.2,40,faeces
64,64.5,top,t2,30,78,,faeces
64,64.5,top,t2,35,91,,faeces
64,64.5,top,t2,28,72.8,,faeces
64,64.5,top,t2,12,31.2,,faeces
64,64.5,top,t2,33,85.8,,faeces
64,64.5,top,t2,30,78,,faeces
